㧻破	敲破
押𣛮	護送籃
押韻	押韻
抽籤	抽籤
抽血	抽血
抽稅	抽稅
抽懸	抽高
抽疼	抽痛
抽穎	發芽
抽籤	抽籤
抽鬮	抽籤
抾錢	集資、募捐
抾襇	衣裙打摺
抾恨	記恨
抿仔	刷子
拆批	拆信
拆厝	拆房子
拆散	拆散
拆白	挑明
拆腿	劈腿
拋網	撒網補魚
拋碇	拋下船錨
拋碇	船靠岸時,拋下船錨來固定船的位置
拍呃	打嗝
拍鼓	打鼓
拍字	打字
拍鱗	刮除魚鱗
拍種	交配
拍醒	驚醒
拍獵	打獵
拍莓	結花蕾
拍片	拍攝影片
拍拍	打節拍
拍拚	努力做事
拍結	打結
拍鱗	刮魚鱗
拍鑼	敲鑼
拎水	提水
拐弄	誘拐
拗紙	摺紙
拗斷	折斷
拗裒	褶邊
拚血	大量出血
招待	招呼
招生	招生
招待	招待
指甲	指甲
指紋	指紋
指點	指點
挑火	撥動柴火使之燃燒旺盛
挓火	撥動火苗
挔衫	拿衣服
挕掉	丟掉
挕捒	丟棄
挕掉	丟掉
挨粿	磨米漿
挾咧	夾著
捀茶	端茶
捻菜	摘菜
掌心	掌心
掌管	掌管
排版	排版
排除	排除
排隊	排隊
掖種	播種
掖種	播種
掛心	擔心
掜粉	沾粉
掠狂	抓狂
掠魚	捉魚
掠漏	找出漏水的地方
掠猴	捉姦
採用	採用
探頭	探頭
探病	探病
接骨	接骨
接接	接洽、接待
接神	接神
接力	承重
推動	推動
推理	推理
推託	推託
提出	提出
提升	提升
提早	提早
換輪	換車輪
握手	握手
握權	掌權
揭露	揭露
損胃	傷胃
損神	耗費精神
損失	損失
搖櫓	搖櫓
搬貨	搬貨
搬戲	演戲
搬厝	搬家
搬戲	演戲
搭船	搭船
搭酒	買酒,也指買散裝酒.
搶市	搶購熱烈
搶奪	搶奪
摘菜	摘菜
摻色	混色
撋衫	搓洗衣服
撏錢	掏錢
撐渡	用竹竿抵住河底,使船前進
撐渡	擺渡
撞球	撞球
撥開	撥開
撨骨	整骨
撩布	裁布
撩油	撈湯上面的油
撫養	撫養
播出	播送放出
擂鼓	用力擊鼓
操兵	練兵
操舟	操舟
操刀	執刀.比喻執掌、管轄.
擔肥	挑糞
擔保	擔保
擔心	擔心
擔水	挑水
擔頭	抬頭
擔擔	挑擔子
擛扇	搧扇子
擛風	搧風
擛手	招手
擤鼻	擤鼻涕
攀岩	攀岩
攏褲	把褲子往上提
攑頭	抬頭
攑筆	拿筆
攝屎	忍住大便
攢料	準備材料
攪吵	吵鬧
支票	支票
收入	收入
收縮	收縮
收存	收存
收成	收成
收工	收工
收心	收心
收批	收信
收押	收押
改途	變換行業類別
改薰	戒菸
改過	改過
改革	改革
改過	改正過錯
改變	改變
攻打	攻打
攻城	攻城
攻肥	加強施肥
攻讀	攻讀
放尿	小便
放屁	放屁
放放	散漫馬虎
放心	放心
放棄	放棄
放大	放大
放屎	排便
放屎	大便
放炮	放鞭炮
放𦊓	設置長網
故事	故事
故事	故事
敆作	製作
敆味	搭配味道
救災	救災
教材	教材
教堂	教堂
教鞭	教鞭
散凶	貧窮
散財	散財
散步	散步
散賣	零售
散票	零鈔、小鈔
散工	打零工的人
散學	放學了
敬酒	敬酒
敲油	敲竹槓
敲破	敲破
敲鐘	敲鐘
敲鐘	敲鐘
整本	籌錢
數想	妄想
數簿	帳簿
數念	想念
數字	數字
數簿	帳簿
文章	文章
文憑	文憑
文辭	文辭
文讀	文讀
新亡	新死者、剛過世的人
新厝	新家
新人	新進人員
斷奶	斷奶
施肥	施肥
旅行	旅行
族譜	族譜
旗杆	旗杆
日月	日月
日光	日光
日報	日報
日期	日期
日頭	太陽
早前	早先
早產	早產
早頓	早餐
早齋	早齋
明仔	阿明
明星	明星
昏君	昏君
星宿	天空的星群
春天	春天
是非	是非
時代	時代
時局	時局
時鐘	時鐘
晾衫	晾衣服
暗步	不光明的手段
暗號	暗號
暫等	暫時等一下
暴政	暴政
曝衫	曬衣服
曲折	曲折
書齋	書齋
替換	替換
會同	會同
會使	可以
會員	會員
會場	會場
會頭	互助會的會首
會面	會面
會跤	互助會會員
月娘	月亮
月餅	月餅
月初	月初
月底	月底
月餅	月餅
有限	有限
有底	有基礎
有限	有限
有銷	賣得好
朋友	朋友
服藥	吃藥
服務	服務
服從	服從
朗讀	朗讀
木材	木材
木匠	木匠
木耳	木耳
木材	木材
未時	下午一點到三點
未免	未免
本土	本土
本名	本名
本錢	本錢
本人	本人
本份	本份
本身	本身
本國	本國
本質	本質
李兄	李兄
東方	東方
東爿	東方
板嘹	板眼
果子	水果
果汁	果汁
果然	果然
查封	查封
柱仔	柱子
柴油	柴油
柴頭	木頭
柴梳	用木頭作的梳子
柴梯	木梯
柴箍	木塊、木棍
根本	根本
根蒂	根蒂
格仔	格子
栽花	種花
框邊	邊框
桌崁	桌罩
桌𥴊	桌蓋
桶捾	桶子的提把
桶箍	將木桶的木片箍住的鐵線圈或竹篾環
條例	條例
條直	坦率
條款	條款
梢聲	聲音沙啞
梨仔	梨
梳頭	梳理頭髮
棉紗	棉紗
棉裘	棉襖
棋子	棋子
棋盤	棋盤
棋譜	棋譜
棕蓑	棕製蓑衣
椅苴	椅墊
椅條	長板凳
椅墊	椅墊
椪柑	一種皮厚體型大的橘子
楹桷	泛稱建材木料
槌仔	槌子
樂隊	樂隊
樓栱	樓的橫梁
樓閣	樓閣
標音	標注音讀
標單	參與投標時填寫價格的單子
模仿	模仿
樣本	作為標準的物品圖樣或貨物
樹木	樹木
樹枝	樹枝
樹椏	樹枝
樹腹	樹幹
樹精	樹精
樹蔭	樹的陰影
樹頭	樹根
樹欉	樹叢
檔案	檔案
欠缺	缺少
次要	次要
次男	次男
欶管	吸管
欺騙	欺騙
歌韻	和諧的歌聲或曲調
歐洲	歐洲
歕風	吹氣
正的	真的
正爿	右邊
正門	正門
步輦	徒步行走
武林	武術界
武器	武器
歪喙	歪嘴,引申為胡說八道
歲壽	壽命、歲數
歸檔	歸檔
歸還	歸還
歸國	回國
歹心	壞心
歹勢	不好意思
歹癖	壞習慣
死刑	死刑
死亡	死亡
死水	死水
殕殕	灰茫茫
殘忍	殘忍
殿堂	殿堂
母姨	姨媽
毒計	毒計
毛利	只除去成本,未除去其他費用的利潤.
毛遂	毛遂
氏族	氏族
民間	民間
民族	民族
水井	水井
水池	水池
水沖	瀑布
水疱	水泡
水門	水門
水洘	退潮
水缸	水缸
水桶	水桶
水蛆	孑孓
水壺	水壺
水筧	水橋
水筧	水橋
水道	水道
水閘	水門
水銀	汞
水槽	水槽
水錶	水表
水薸	綠浮萍
求仙	求仙
求親	求親
汗青	史冊
決鬥	決鬥
沃花	澆花
沐澹	沾溼
沖水	沖水
沖犯	沖犯
沖喜	沖喜
沙州	沙洲
沙仔	沙子
河水	河水
河溪	銀河
治安	治安
治罪	治罪
治病	醫病
治學	治學
沿襲	依循舊法
沿海	靠海的地方
泄尿	洩尿、遺尿
泉源	泉水源頭
法事	法事
法門	法門
法國	法國
法院	法院
法條	法條
泡泡	鬆軟或鬆脆的口感
注射	注射藥物
注音	注音
注疏	注疏
洋酒	洋酒
洗跤	洗腳
洗頭	洗頭
洘旱	大旱、乾旱
洘旱	大旱、乾旱
津貼	津貼
活結	活結
活水	活水
派系	派系
流亡	流亡
流汗	流汗
流血	流血
流水	流水
流言	流言
流鼻	流鼻涕
流瀾	流口水
海岸	海岸
海軍	海軍
海島	海島
海產	海產
海湧	海浪
海墘	海邊
海灘	海灘
消化	消化
消毒	消毒
消風	輪胎的空氣減損
消費	消費
涼亭	涼亭
淋雨	淋雨
淋碭	將陶瓷上色
淘汰	淘汰
淘井	淘井
淹水	淹水
淺色	淺色
添飯	添飯
清白	清白
清廉	清廉
清寒	清寒
減速	減速
港灣	港灣
湢泔	倒出飯汁
湯匙	湯匙
溪洲	溪洲
溪頭	河川的上游
溪瀨	淺灘
滅絕	滅絕
滅亡	滅亡
滇流	滿潮
滾躘	亂滾亂踢
滿足	滿足
漚肥	積成堆肥
漚步	卑劣的手段
漢朝	漢朝
漳州	漳州
漿泔	漿洗衣物
潑雨	潑雨
潤喉	滋潤喉嚨使不乾渴
激屎	擺架子
激力	使力
激腦	蒸樟腦油
瀉藥	瀉藥
瀾鬚	口水飛沫
灇水	沖水
灌酒	灌酒
火舌	火舌
火夾	夾碳火用的鉗子
火把	火把
火車	火車
火星	火花
火炭	木炭
火葬	火葬
火爐	火爐
災禍	災禍
炒菜	炒菜
炮彈	炮彈
炸藥	炸藥
為止	為止
烈士	烈士
烏手	機械修護工人
烏枋	黑板
烏梅	烏梅
烏麻	黑芝麻
烏影	黑影
烏貓	指時髦新潮的女人
烏檀	黑檀
烏點	黑點
烘肉	烤肉
烘火	烤火
焙茶	烘乾茶葉
無力	沒有力氣
無恥	不知羞愧
無能	無能
無錢	沒錢
無媠	不美
無辜	無辜
煎卵	煎蛋
煞戲	戲散場
煞癢	止癢
煞著	被鬼神傷到
照鏡	照鏡子
熊掌	熊掌
熔鐵	熔鐵
熟鐵	將生鐵在爐中加熱鍛煉,燒去部分碳,而使含碳量減少的鐵.
熨衫	燙衣服
熱烈	熱烈
燃火	燒火煮食物
燈猜	燈謎
燈塔	燈塔
燉肉	燉肉
燒金	燒紙錢
燒香	燒香
燒瓷	燒製瓷器
燒香	燒香
燖補	燉煮補品
燖鍋	燉鍋
燭台	燭臺
爐丹	爐丹
爽快	爽快
牌匾	匾額
牛奶	牛奶
牛衣	牛的胎盤
牛杙	栓牛用的木樁
牛排	牛排
牛貫	牛的穿鼻環
牛陵	牛背
牛擔	牛軛
牛欄	牛欄
牛籠	牛絡頭
牛𡳞	牛的生殖器
牢鼎	沾鍋,烹煮時食物黏在鍋子上
牧童	牧童
物件	東西
物配	配菜
特技	特技
牽拖	牽連、推諉、諉過
牽罟	拉漁網捕魚
牽紬	縫合衣服的布緣
牽繩	牽繩
犁田	犁田
犯煞	犯煞
犯法	犯法
狗尾	狗尾巴
狗蝨	長在狗身上的蝨子
獎杯	獎杯
獎狀	獎狀
獎勵	獎勵
獎杯	獎杯
玉環	玉環
玉盞	玉杯
王氏	王氏
現金	現金
現在	現在
現場	現場
琴絃	琴絃
瓜瓤	瓜瓤
甜粿	甜糕
生肉	生肉
生番	過去以“生番”表示未開化,但涉及種族偏見與歧視,故今已不再使用.
生活	生活
生物	生物
生辰	生日
生疥	長疥瘡
生產	生產
生番	生番
生菇	發霉
生鉎	生鏽
生蟲	長出蟲子
產期	胎兒預計出生的日期
甪鉎	搓洗身體
田園	田園
田庄	鄉村
田岸	田埂
田契	田契
田租	田租
甲等	甲等
申時	下午三點至五點
申訴	申訴
申冤	申訴冤情
申請	申請
男性	男性
畏熱	怕熱
留存	留存
畜生	畜生
番社	原住民聚落的舊稱
番薯	番薯
畫巡	畫線條
畫像	畫像
當初	當初
疊跤	墊腳
疏文	疏文
疲勞	疲勞
疶屎	洩屎
病母	病原
病例	病例
病症	病症
病院	醫院
痔瘡	痔瘡
痔瘡	痔瘡
痟人	瘋子
痲瘋	痲瘋
瘦肉	瘦肉
瘦田	貧瘠的田地
瘸跤	跛腳
癮薰	吸菸吸上癮
發生	發生
發炎	發炎
發芽	發芽
發酵	酵母產生作用
發輦	神輿發動
發穎	發芽
發癀	發炎
白話	白話
白飯	白飯
白宮	白宮
白飯	白米飯
白絹	白絹
白糖	白糖
白癬	白癬
皮膚	皮膚
皮鞋	皮鞋
皮箱	皮箱
皮膚	皮膚
盡忠	盡忠
盤車	旅途中換車以改變或延續交通路線
目前	目前
目油	眼睛的分泌物
目屎	眼淚
目眉	眉毛
目箍	眼眶
目鏡	眼鏡
盲人	眼睛失明的人
盲從	不明是非,毫無主見的附和他人.
直路	直路
相助	相助
相佮	相偕一起
相延	互相推讓
相拍	打架
相爭	相爭
相姦	交合
相見	見面
相攬	互相擁抱
相送	送我、贈送
相隨	相隨
相豬	屬豬
相送	相送
相偃	相撲
相塌	截長補短
相諍	互相爭辯
相輸	打賭
相辭	互相道別
省錢	省錢
看仿	樣品
看守	看守
看重	看重
真吵	很吵
真的	真的
真𠢕	很厲害
眠夢	做夢、白日夢
眼前	眼前
睏死	睡死
睏相	睡姿
睏醒	睡醒
瞞崁	隱瞞
瞪力	憋氣用力
知影	知道
知情	知情
知府	明清兩代時一府的行政官
短命	壽命很短
短見	淺見.謙稱自己的看法
矮肥	又矮又肥
石頭	石頭
石桌	石桌
石碑	石碑
石鏨	鑿石頭的工具
石蠟	石蠟
石砛	石階
砂石	砂石
砉刀	砉刀
研缽	研磨藥材用的缽
研槌	研磨棒
破帆	不完整的彩虹
破空	破洞
破費	在應酬中,稱別人為自己花錢的客套話
破柴	砍柴
硩嗽	止咳
硬拗	以話術或強詞奪理的方式,把一件事情或一段話刻意地曲解或強加解釋.
硯台	硯臺
碭光	上釉
磅針	溫度計
磕壁	撞牆
磨墨	磨墨
磨粿	用石磨將米磨成漿,而後製成粿
磨刀	磨刀子使其鋒利
磨墨	磨墨
示範	示範
祕訣	特殊的技巧或方法
祖先	祖先
祝壽	祝壽
神明	神明
神祕	神祕
神靈	神靈
祠堂	祠堂
祭神	祭神
祭壇	祭壇
禁止	禁止
福相	有福氣的相貌,通常指人豐腴多肉.
禮盒	禮盒
私業	私有財產
秋季	秋季
秋蟬	秋蟬
秒針	秒針
秤重	秤重
秤鈕	秤紐
秤錘	秤鉈
秤繚	秤桿上手提用的小繩索
秧仔	秧苗
稅單	稅單
稅厝	租房子
稟告	稟告
種作	耕種
種菜	種菜
種花	種花
種珠	種牛痘,即施打天花疫苗
稻埕	晒穀場
稻稿	稻子的莖桿
積水	積水
穴道	穴道
空厝	空屋
空話	空話
空氣	空氣
空嘔	乾吐
空隙	縫隙
穿針	穿針
穿衫	穿衣服
穿鞋	穿鞋
窗仔	窗子
立法	立法
立場	認識或處理問題時,所處的地位和所抱持的態度.
