㔂	lân
厘	lî
厚	kāu
厝	tshù
厭	ià
去	khì
參	tsham
又	iū
叉	tshe
友	iú
反	huán
反	píng
叔	tsik
取	tshú
受	siū
口	kháu
古	kóo
句	kù
叨	lo
叩	khàu
只	tsí
叫	kiò
叮	ting
叮	tìng
可	khó
台	tâi
合	ha̍h
合	ha̍p
合	kap
吉	kiat
吊	tiàu
同	tông
名	bîng
名	miâ
吐	thòo
吐	thóo
向	ànn
向	hiànn
向	hiòng
向	ǹg
君	kun
吞	thun
吟	gîm
吠	puī
含	kâm
含	kânn
吭	khngh
吭	khōng
吮	tshńg
吱	ki
吵	tshá
吶	nā
吸	khip
吹	tshue
吼	háu
呃	eh
呆	tai
告	kò
呔	thài
呢	--nih
呢	--neh
呲	tshū
味	bī
呸	phuì
呻	tshan
呼	hoo
呼	khoo
命	bīng
命	miā
呾	tànn
咂	tsa̍p
和	hām
和	hô
咒	tsiù
咧	--leh
咧	teh
咩	meh
咬	kā
咯	ko̍k
咯	kha̍k
咱	lán
咻	hiu
哀	ai
品	phín
哈	ha
哎	--aih
員	uân
哥	ko
哩	--lih
哩	mai
哪	ná
哭	khàu
哹	pu
哺	pōo
哼	hainn
哼	--hngh
哽	kénn
唅	--hannh
唉	haih
唌	siânn
唔	onn
唚	tsim
唬	hóo
唱	tshiàng
唱	tshiùnn
唷	--ioh
唸	liām
啄	tok
啉	lim
啊	--ah
問	mn̄g
啖	tam
啥	siánn
啦	--lah
啼	thî
喀	khe̍nnh
喂	--eh
喂	--ueh
喃	nauh
善	siān
喈	kainn
喊	hiàm
喊	hán
喋	thi̍h
喌	tsû
喓	iaunn
喔	--ooh
喘	tshuán
喙	tshuì
喝	huah
喢	sannh
喨	liang
單	tuann
嗄	sà
嗙	phngh
嗚	onn
嗺	sui
嗽	sàu
嗾	tsa̍k
嘆	thàn
嘔	áu
嘖	--tsheh
嘛	mā
嘛	--mah
嘹	liâu
嘿	--heh
噓	si
噗	pok
噗	phok
噗	pho̍k
器	khì
噯	aih
噴	phùn
噸	tòng
嚇	hánn
嚇	heh
嚓	tshia̍k
嚙	gè
嚴	giâm
嚷	jiáng
嚾	uang
囉	lō
囉	--looh
囊	long
囊	lông
囚	siû
四	sì
四	sù
囝	kiánn
回	huê
回	hê
囟	sìn
因	in
囤	tún
囥	khǹg
囫	hut
囮	buê
囷	khûn
圇	lun
圈	khian
國	kok
圍	uî
園	hn̂g
圓	înn
圖	tôo
團	thuân
土	thóo
在	tsāi
地	tē
圳	tsùn
坉	thūn
坎	khám
坐	tsē
坐	tshē
坑	khenn
坩	khann
坪	pênn
坯	phue
坱	ing
坵	khu
垂	suî
垺	pû
埋	bâi
埋	tâi
城	siânn
城	sîng
埔	poo
埕	tiânn
埠	poo
埤	pi
培	puē
堂	tn̂g
堂	tông
堅	kian
堆	tui
堪	kham
報	pò
場	tiûnn
堵	tóo
塊	tè
塌	thap
塌	lap
塔	thah
塗	thôo
塚	thióng
塞	sat
填	thiām
塭	ùn
境	kíng
墊	tiām
墓	bōng
墓	bōo
墘	kînn
墜	tuī
墟	hi
墨	ba̍k
壁	piah
壅	ìng
壇	tuânn
壓	ah
壘	luí
壙	khòng
士	sū
壬	jîm
壺	hôo
壺	ôo
壽	siū
夏	hā
外	guā
多	to
夜	iā
夠	kàu
夢	bāng
夢	bōng
大	ta
大	tāi
大	tuā
天	thian
天	thinn
太	thài
夫	hu
央	iang
夯	giâ
失	sit
夾	ngeh
奅	phānn
奇	kî
奇	khia
奏	tsàu
契	khè
奒	hai
奕	ī
套	thò
奪	tua̍t
女	lí
女	lú
奴	lôo
奶	ling
奶	nai
奶	ne
奸	kan
好	hó
好	hònn
如	jû
妃	hui
妖	iau
妗	kīm
妙	miāu
妝	tsng
妹	muē
妻	tshe
妾	tshiap
姆	ḿ
姊	tsé
姊	tsí
姑	koo
姓	sènn
姓	sìng
姦	kàn
姨	î
娘	niâ
娘	niû
娶	tshuā
婆	pô
婚	hun
婦	hū
媌	bâ
媠	suí
媽	má
嫁	kè
嫂	só
嫌	hiâm
嫣	ian
嬈	hiâu
嬌	kiau
嬸	tsím
子	tsí
子	tsú
子	jí
子	lí
字	jī
存	tsûn
孝	hàu
季	kuì
孤	koo
孩	hâi
孫	sun
孵	pū
學	ha̍k
學	o̍h
宅	the̍h
守	tsiú
守	siú
安	an
宋	Sòng
完	uân
宕	thōng
官	kuan
官	kuann
定	tiānn
定	tīng
客	kheh
室	sik
宮	king
宮	kiong
害	hāi
家	ka
家	ke
容	iông
寄	kià
寅	în
密	ba̍t
富	pù
寒	kuânn
寒	gân
寒	lia̍t
寡	kuá
寢	tshím
實	si̍t
實	tsa̍t
寨	tsē
審	sím
寫	siá
寮	liâu
寶	pó
寸	tshùn
寺	sī
封	hong
封	pang
射	siā
將	tsiong
將	tsiòng
專	tsuan
尊	tsun
尋	siâm
對	tuì
對	uì
小	sió
小	siáu
少	tsió
尖	tsiam
尪	ang
就	tsiū
就	tō
尺	tshe
尺	tshioh
尾	bué
尿	jiō
尿	liō
局	kio̍k
屁	phuì
屆	kài
屈	khut
屍	si
屎	sái
屑	sut
展	tián
展	thián
屘	ban
屜	thuah
層	tsân
層	tsàn
屧	siap
山	san
山	suann
岫	siū
岸	huānn
峇	bā
島	tó
崁	khàm
崎	kiā
崩	pang
嶺	niá
州	tsiu
巡	sûn
工	kang
工	kong
巧	khá
巧	khiáu
差	tsua̍h
差	tsha
差	tshe
己	kí
巳	tsī
巷	hāng
巾	kin
巾	kun
市	tshī
布	pòo
帆	huân
帆	phâng
帕	phè
帖	thiap
帝	tè
師	sai
師	su
席	si̍k
帶	tài
帶	tuà
帽	bō
幅	pak
幌	hàinn
幔	mua
幕	bōo
幡	huan
幫	pang
幫	png
干	kan
平	pênn
平	piânn
平	pîng
年	liân
年	nî
幸	hīng
幹	kàn
幼	iù
幾	kuí
庄	tsng
床	tshn̂g
床	sn̂g
序	sū
底	té
底	tué
底	tī
店	tiàm
庚	kenn
庚	king
府	hú
度	tōo
座	tsō
庫	khòo
廍	phōo
廕	ìm
廟	biō
廠	tshiúnn
廢	huì
廣	kóng
廳	thiann
延	tshiân
廿	jia̍p
弄	lāng
弓	king
引	ín
弟	tē
弟	tī
弱	jio̍k
弱	lio̍k
張	tiunn
張	tng
強	kiông
彈	tuānn
彈	tuânn
彎	uan
形	hîng
影	iánn
彼	he
彼	hit
往	íng
往	óng
待	thāi
律	lu̍t
後	āu
徒	tôo
得	tik
得	tit
徙	suá
徛	khiā
從	tsîng
從	tsiông
循	sūn
德	tik
心	sim
必	pit
忌	khī
忍	jím
忍	lún
志	tsì
忘	bōng
忝	thiám
忠	tiong
快	khuài
念	liām
怙	kōo
思	su
急	kip
性	sìng
怨	uàn
怪	kuài
怪	kuè
恁	lín
恥	thí
恨	hūn
恩	in
恩	un
恬	tiām
恭	kiong
悾	khong
情	tsîng
惜	sioh
惝	tshíng
惡	ok
惱	lóo
想	sióng
想	siūnn
惹	jiá
愁	tshiû
愈	jú
意	ì
愖	sīm
愛	ài
感	kám
愣	gāng
慒	tso
慘	tshám
慢	bān
慼	tsheh
憂	iu
憑	pîn
憲	hiàn
應	ìn
懍	lún
懶	lán
懸	kuân
戇	gōng
戊	bōo
戌	sut
成	tsiânn
成	siânn
成	sîng
我	guá
我	ngóo
戛	khiat
戥	tíng
戮	lak
戰	tsiàn
戲	hì
戳	thok
戴	tì
戶	hōo
戽	hòo
房	pâng
房	pông
所	sóo
扁	pínn
扇	sìnn
手	tshiú
才	tsâi
才	tsiah
才	tshâi
扒	pe
扒	pê
打	tánn
托	thuh
扛	kng
扞	huānn
扣	khau
扣	khàu
扦	tshuann
扭	ngiú
扭	láu
扮	pān
扯	tshé
扱	khi̍p
扲	gīm
扳	pian
扴	ke̍h
扶	phôo
扶	hû
扷	ió
批	phue
找	tsāu
承	sîn
承	sîng
技	ki
抄	tshau
抉	kuat
把	pé
抌	tìm
抐	lā
抑	ia̍h
抓	jiàu
抔	put
投	tâu
折	tsiat
折	tsi̍h
抨	phiann
披	phi
抱	phō
抹	buah
押	ah
抽	thiu
抾	khioh
抿	bín
拂	hut
拄	tú
拆	thiah
拈	liam
拈	ni
拊	hú
拋	pha
拋	phau
拌	puānn
拍	phah
拍	phik
拎	lîng
拐	kuái
拐	kuāinn
拑	khînn
拔	pua̍h
拔	pue̍h
拖	thua
拗	áu
拚	piànn
招	tsiau
招	tsio
拜	pài
括	kuah
拭	tshit
拳	kûn
拹	hia̍p
挂	kuì
挃	ti̍h
指	tsáinn
指	tsí
指	kí
挈	khe̍h
按	àn
挌	keh
挐	jû
挐	lû
挑	thio
挓	thà
挔	hiannh
挕	hìnn
挖	óo
挨	e
挩	thuah
挲	so
挵	lòng
挺	thánn
挼	juê
挽	bán
挾	gia̍p
挾	nge̍h
捀	phâng
捅	thóng
捆	khún
捋	lua̍h
捋	luah
捌	bat
捎	sa
捏	lia̍p
捏	tēnn
捒	sak
捗	pôo
捘	tsūn
捙	tshia
捥	ńg
捧	phóng
捲	kńg
捶	tuî
捷	tsia̍p
捻	liàm
捻	liām
捽	sut
捾	kuānn
掀	hian
掂	tìm
掃	sàu
掉	tiāu
掌	tsióng
掌	tsiúnn
排	pâi
掔	khian
掖	iā
掘	ku̍t
掛	kuà
掛	khuà
掜	tau
掠	lia̍h
採	tshái
探	tham
探	thàm
掣	tshuah
接	tsiap
接	tsih
控	khàng
推	the
推	thui
掩	iám
掩	am
掩	ng
掩	om
掮	khainn
掰	pué
揀	kíng
揈	hong
揉	jiû
揉	liû
揌	sai
揍	bok
描	biô
提	the̍h
提	thê
插	tshah
插	tshap
換	uānn
揜	iap
握	ak
揣	tshuē
揣	tshē
揤	tshi̍h
揫	tshiû
揬	tu̍h
揲	tia̍p
揹	phāinn
揻	ui
損	sún
損	sńg
搐	tiuh
搖	iô
搙	jio̍k
搜	tshiau
搝	khiú
搟	hián
搢	tsìnn
搣	me
搤	iah
搦	la̍k
搧	siàn
搧	sàm
搩	kiat
搪	tn̄g
搬	puann
搭	tah
搵	ùn
搶	tshiúnn
摁	hmh
摃	kòng
摒	piànn
摔	siak
摔	siàng
摖	tshè
摘	tiah
摠	tsáng
摧	tshui
摳	kha̍unnh
摵	tshi̍k
摸	bong
摺	tsih
摻	tsham
摻	tshàm
撆	pih
撇	phiat
撈	hôo
撋	nuá
撏	jîm
撐	the
撒	suah
撓	ngiáu
撚	lián
撞	tōng
撟	kiāu
撠	giah
撥	puah
撨	tshiâu
撩	liâu
撩	liô
撫	hu
撬	kiāu
播	pòo
撮	tshok
撼	hám
擂	luî
擇	ti̍k
擇	to̍h
擉	tia̍k
擋	tòng
操	tshau
操	tsho
擒	khîm
擔	tam
擔	tann
擔	tànn
擗	phia̍k
擘	peh
據	kì
據	kù
擛	ia̍t
擠	tsik
擢	tioh
擤	tshìng
擦	tshat
擲	tàn
擸	bā
擺	pái
擽	ngiau
攀	phan
攄	lu
攏	lóng
攏	láng
攑	gia̍h
攔	ânn
攕	tshiám
攝	liap
攢	tshuân
攤	thuann
攪	kiáu
攬	lám
支	ki
收	siu
改	kái
攻	kong
放	hòng
放	pàng
政	tsìng
故	kòo
敆	kap
效	hāu
救	kiù
敗	pāi
教	kà
教	kàu
敢	kánn
敢	kám
散	sán
散	sàn
散	suánn
散	suànn
敧	khi
敨	tháu
敬	kìng
敱	kháinn
敲	khà
敲	khau
整	tsíng
數	siàu
數	sòo
文	bûn
斗	táu
料	liāu
斜	tshiâ
斜	tshua̍h
斟	thîn
斡	uat
斤	kin
新	sin
斷	tn̄g
斷	tuàn
斷	tuān
方	hng
方	hong
施	si
旅	lí
旋	tsn̄g
旋	suan
族	tso̍k
旗	kî
日	ji̍t
日	li̍t
旦	tuànn
早	tsá
旱	hān
旱	huānn
旱	uānn
旺	ōng
昏	hūn
星	tshenn
星	sing
春	tshun
是	sī
時	sî
晃	huánn
晏	uànn
晝	tàu
晟	tshiânn
晡	poo
景	kíng
晾	nê
暗	àm
暝	mê
暝	mî
暢	thiòng
暫	tsiām
曝	pha̍k
曲	khiau
曲	khik
更	kenn
曷	a̍h
書	tsu
書	su
替	thè
替	thuè
會	ē
會	huē
月	gua̍t
月	gue̍h
有	iú
有	ū
服	ho̍k
朕	tīm
望	bāng
望	bōng
朝	tiâu
期	kî
木	ba̍k
木	bo̍k
未	bī
未	buē
本	pún
朱	tsu
杆	kuainn
杆	kuann
李	lí
杏	hīng
材	tsâi
村	tshun
杓	sia̍h
杙	khi̍t
束	sok
杮	phuè
杯	pue
東	tang
東	tong
板	pán
枇	pî
枋	pang
林	lîm
林	nâ
果	kó
枝	ki
枴	kuái
枵	iau
架	kè
架	khuè
枷	kê
柄	pènn
某	bóo
柑	kam
染	jiám
染	liám
染	ní
柙	kah
柚	iū
查	tshâ
柯	kua
柱	thiāu
柴	tshâ
柿	khī
栓	sng
校	hāu
栱	kông
核	hu̍t
根	kin
格	keh
栽	tsai
桃	thô
框	khing
框	khong
案	àn
桌	toh
桔	kiat
桮	pue
桱	kènn
桱	kìnn
桶	tháng
桷	kak
桸	hia
桿	kuáinn
梅	muê
梅	m̂
條	liâu
條	tiâu
梢	sau
梨	lâi
梯	thui
梳	se
梳	sue
棉	mî
棋	kî
棕	tsang
棗	tsó
棚	pênn
棟	tòng
椅	í
椏	ue
椰	iâ
楓	png
楔	seh
楗	kīng
楞	gông
楠	lâm
楦	hùn
業	gia̍p
榕	tshîng
榫	sún
槌	thuî
槍	tshiunn
槓	kǹg
槳	tsiúnn
槽	tsô
樂	ga̍k
樂	lo̍k
樓	lâu
標	piau
標	pio
樟	tsiunn
樠	miâ
模	bôo
樣	iūnn
樹	tshiū
橋	kiô
橐	lok
橐	lop
橛	kue̍h
橫	huâinn
檀	tuânn
檔	tóng
檠	kiânn
檨	suāinn
櫃	kuī
櫓	lóo
櫥	tû
櫳	lang
櫼	tsinn
欄	nuâ
欉	tsâng
權	khuân
欠	khiàm
欠	khiàm-kheh
次	tshù
欱	hap
欲	beh
欲	bueh
欶	suh
欸	--eh
欺	khi
款	khuán
款	khuánn
歁	khám
歇	hioh
歌	ko
歌	kua
歕	pûn
止	tsí
正	tsiànn
正	tsìng
此	tshú
步	pōo
武	bú
歪	uai
歲	huè
歲	suè
歸	kui
歹	pháinn
死	sí
死	sú
殕	phú
段	tuānn
殺	sat
殼	khak
毀	huí
毋	m̄
母	bú
母	bió
母	bó
每	muí
每	lip 
毒	to̍k
毒	thāu
比	pí
毛	mn̂g
毛	môo
毯	thán
氏	sī
民	bîn
氣	khì
氣	khuì
水	tsuí
水	suí
汁	tsiap
求	kiû
汗	kuānn
江	kang
池	tî
汫	tsiánn
汰	thài
汰	thuā
沃	ak
沉	tîm
沐	bak
沓	ta̍uh
沕	bi̍t
沖	tshiâng
沖	tshiong
沙	sua
沫	phue̍h
沫	phe̍h
沬	bī
河	hô
油	iû
治	tī
沾	tsam
沿	iân
泄	tshuā
泅	siû
泉	tsuân
泉	tsuânn
泏	tsuh
泏	tsuah
泏	tsuat
泔	ám
法	huat
泡	phàu
泡	pho
泡	phò
波	pho
注	tsù
注	tù
洋	iûnn
洒	sè
洗	sé
洘	khó
洞	tōng
津	tin
洩	sia̍p
洲	tsiu
活	ua̍h
派	phài
流	lâu
流	liû
浞	tshio̍k
浡	phū
浮	phû
海	hái
浸	tsìm
消	siau
液	sio̍h
涼	liâng
淋	lâm
淘	tô
淚	luī
深	tshim
淹	im
淺	tshián
添	thiam
添	thinn
清	tshing
減	kiám
渡	tōo
渧	tè
港	káng
渴	khuah
湖	ôo
湠	thuànn
湢	pih
湧	íng
湯	thng
湳	làm
準	tsún
溜	liu
溝	kau
溡	tshî
溢	ik
溪	khe
溪	khue
溶	iûnn
溼	sip
滅	bia̍t
滇	tīnn
滑	ku̍t
滒	kō
滓	tái
滯	tù
滲	siàm
滴	tih
滷	lóo
滾	kún
滿	buán
滿	muá
漂	phiau
漆	tshat
漉	lo̍k
漏	lāu
演	ián
漖	kà
漚	au
漚	àu
漢	hàn
漩	suān
漲	tiòng
漲	tiùnn
漿	tsiunn
潑	phuah
潘	phun
潤	jūn
潭	thâm
潲	siâu
澀	siap
澍	tshū
澹	tâm
激	kik
濁	lô
濆	bùn
濟	tsē
濟	tsuē
濫	lām
濺	tsuānn
濾	lī
瀉	sià
瀨	luā
瀳	tshînn
瀾	nuā
灇	tsâng
灌	kuàn
灘	thuann
灣	uan
火	hué
火	hé
灶	tsàu
災	tsai
災	tse
炊	tshue
炎	iām
炒	tshá
炕	khòng
炤	tshiō
炭	thuànn
炮	phàu
炰	pû
炱	te
炸	tsà
炸	tsuànn
為	uî
為	uī
烈	lia̍t
烌	hu
烏	oo
烘	hang
烰	phû
焐	ù
焙	puē
焠	tshuh
無	bû
無	bô
焦	ta
煎	tsian
煎	tsuann
煏	piak
煙	ian
煞	suah
煞	sannh
煠	sa̍h
煡	khi̍t
照	tsiàu
照	tsiò
煨	ue
煩	huân
煮	tsú
熁	hannh
熄	sit
熊	hîm
熔	iûnn
熗	tshìng
熟	si̍k
熥	thn̄g
熨	ut
熬	gô
熱	jua̍h
熱	lua̍h
熱	jia̍t
燃	hiânn
燈	ting
燉	tūn
燒	sio
燕	ìnn
燖	tīm
燙	thǹg
燜	būn
營	iânn
營	îng
燥	sò
燭	tsik
燭	tsiok
爁	nah
爍	sih
爐	lôo
爛	nuā
爪	jiáu
爬	pê
爭	tsenn
父	hū
爸	pâ
爸	pē
爹	tia
爺	iâ
爽	sóng
爿	pîng
牆	tshiûnn
片	phìnn
版	pán
牌	pâi
牙	gâ
牙	gê
牚	thènn
牛	gû
牢	tiâu
物	bu̍t
物	mi̍h
牽	khan
犁	lê
犅	káng
犯	huān
狀	tsn̄g
狂	kông
狗	káu
狹	e̍h
狹	ue̍h
狼	lông
猌	gīn
猛	mé
猛	bíng
猜	tshai
猴	kâu
猶	iáu
獅	sai
獎	tsióng
獻	hiàn
玉	gi̍k
玉	gio̍k
王	ông
珠	tsu
班	pan
現	hiàn
現	hiān
球	kiû
理	lí
琴	khîm
環	khuân
瓜	kue
瓢	phiô
瓣	bān
瓤	nn̂g
瓦	hiā
瓶	pân
瓷	huî
甌	au
甍	bòng
甓	phia̍h
甕	àng
甘	kam
甜	tinn
生	sing
生	tshenn
生	senn
生	tshinn
產	sán
用	īng
用	iōng
甪	lut
田	tshân
由	iû
甲	kah
申	sin
男	lâm
畏	uì
留	lâu
留	liû
畜	thik
番	huan
畫	uē
當	tng
當	tǹg
疊	tha̍h
疊	thia̍p
疏	se
疏	sòo
疑	gî
疔	ting
疕	phí
疤	pa
疥	kè
疧	khî
疱	phā
疶	tshuah
疼	thiànn
痀	ku
病	pēnn
病	pīnn
症	tsìng
痔	tī
痕	hûn
痚	he
痟	siáu
痠	sng
痣	kì
痧	sua
痰	thâm
痲	muâ
瘡	tshng
瘤	liû
瘦	sán
瘸	khuê
癀	hông
癉	tan
癌	gâm
癖	phia̍h
癖	phiah
癗	luî
癢	tsiūnn
癬	sián
癮	giàn
癰	ing
癸	kuí
發	huat
發	puh
白	pe̍h
白	pi̍k
百	pah
皂	tsō
的	--ê
的	ê
皆	kai
皮	phî
皮	phuê
皺	jiâu
盆	phûn
盍	khah
盒	a̍h
盒	a̍p
盛	sīng
盞	tsuánn
盡	tsīn
監	kann
盤	puânn
盪	tn̄g
目	ba̍k
目	bo̍k
盲	bông
直	ti̍t
相	sann
相	sio
相	siong
相	siòng
相	siùnn
盹	tuh
省	síng
眉	bâi
眉	bî
看	khuànn
看	khàn
真	tsin
眠	bîn
眩	hîn
眯	bî
眵	tshuh
眷	kuàn
眼	gán
睏	khùn
睨	gîn
瞌	kheh
瞞	muâ
瞪	tènn
瞭	lió
矣	--ah
知	tsai
知	ti
短	té
短	tuán
矮	é
矮	ué
石	tsio̍h
石	si̍k
矸	kan
砂	sua
砉	huah
研	gíng
砛	gîm
砧	tiam
破	phuà
破	phò
硞	kho̍k
硩	teh
硬	ngē
硯	hīnn
碇	tiānn
碌	li̍k
碎	tshuì
碑	pi
碗	uánn
碭	thn̄g
碰	pōng
碳	thuànn
磅	pōng
磕	kha̍p
磚	tsng
磨	bō
磨	buâ
礁	ta
礐	ha̍k
礙	gāi
礤	tshuah
礦	khòng
礪	lè
礬	huân
示	sī
社	siā
祀	tshāi
祖	tsóo
祝	tsiok
神	sîn
祠	sû
票	phiò
祭	tsè
禁	kìm
禍	hō
禍	ē
福	hok
禪	siân
禮	lé
私	su
秋	tshiu
科	kho
秒	bió
租	tsoo
秤	tshìn
秧	ng
稅	suè
稅	sè
稈	kuáinn
稗	phē
稗	phuē
稜	līng
稜	lîng
稟	pín
種	tsìng
種	tsíng
種	tsióng
稻	tiū
稿	kó
積	tsik
穎	ínn
穗	suī
穡	sit
穢	uè
穢	è
穩	ún
穴	hia̍t
空	khang
空	khòng
穿	tshīng
穿	tshng
窒	that
窗	tshong
窗	thang
窟	khut
窮	kîng
窮	kiông
窮	khîng
窯	iô
立	li̍p
站	tsām
章	tsiong
章	tsiunn
童	tâng
童	tông
竹	tik
笑	tshiò
笠	le̍h
符	hû
笨	pūn
第	tē
笱	kô
筅	tshíng
筆	pit
等	tán
等	tíng
筊	kiáu
筋	kin
筍	sún
筐	khing
筒	tâng
筧	kíng
筧	khiò
箅	pín
箍	khoo
箔	po̍h
算	sǹg
算	suàn
箠	tshuê
管	kńg
管	kóng
管	kuán
箬	ha̍h
箭	tsìnn
箱	siunn
箸	tī
節	tsat
節	tseh
節	tsiat
篇	phinn
篋	kheh
篙	ko
篡	tshuàn
篦	pìn
篩	thai
篷	phâng
篾	bi̍h
簇	tshok
簫	siau
簸	puà
簽	tshiam
簾	lî
簾	liâm
簿	phōo
籃	nâ
籗	khah
籠	lam
籠	lang
籠	láng
籠	lâng
籠	lāng
籠	lông
籤	tshiam
米	bí
粉	hún
粒	lia̍p
粕	phoh
粗	tshoo
粞	tshè
粟	tshik
粧	tsng
粩	láu
粽	tsàng
精	tsiann
精	tsing
精	tsinn
粿	kué
糊	kôo
糋	tsìnn
糕	ko
糖	thn̂g
糜	muê
糝	sám
糞	pùn
糠	khng
糧	niû
糴	tia̍h
糶	thiò
系	hē
糾	kiù
約	iok
紅	âng
紅	hông
納	la̍p
純	sûn
紗	se
紙	tsuá
級	kip
素	sòo
紡	pháng
索	soh
紩	thīnn
紬	thiu
紮	tsah
紮	tsat
細	sè
細	suè
紲	suà
紺	khóng
絃	hiân
組	tsoo
絆	puànn
結	kat
結	kiat
絕	tse̍h
絕	tsua̍t
絚	ân
絞	ká
絨	jiông
絲	si
絹	kìn
經	kenn
經	king
綠	li̍k
網	bāng
網	bóng
綴	tuè
綴	tè
綵	tshái
綹	liú
綿	mî
緊	kín
線	suànn
緟	thōng
緣	iân
編	pian
緩	uān
練	liān
縋	luī
縖	hâ
縛	pa̍k
縣	kuān
縫	pâng
縫	phāng
縮	sok
總	tsóng
總	tsáng
繃	penn
繏	sǹg
繐	sui
織	tsit
繚	liāu
繡	siù
繩	tsîn
繭	kián
繭	kíng
繳	kiáu
纏	tînn
缸	kng
缺	khih
缺	khuat
缺	khueh
缽	puah
罐	kuàn
罔	bóng
罕	hán
罟	koo
